iter	Passed	Remaining
677	4150	1971
678	4153	1963
679	4156	1955
680	4160	1948
681	4165	1942
682	4169	1935
683	4172	1927
684	4181	1923
685	4185	1916
686	4193	1910
687	4199	1904
688	4205	1898
689	4217	1894
690	4228	1890
691	4234	1884
692	4240	1878
693	4245	1871
694	4248	1864
695	4253	1857
696	4257	1850
697	4260	1843
698	4264	1836
699	4268	1829
700	4273	1822
701	4276	1815
702	4280	1808
703	4283	1801
704	4288	1794
705	4291	1787
706	4295	1780
707	4299	1773
708	4301	1765
709	4305	1758
710	4307	1750
711	4311	1743
712	4314	1736
713	4317	1729
714	4320	1722
715	4324	1715
716	4327	1708
717	4330	1700
718	4333	1693
719	4337	1686
720	4340	1679
721	4342	1672
722	4345	1665
723	4349	1658
724	4352	1650
725	4354	1643
726	4357	1636
727	4360	1629
728	4362	1621
729	4366	1614
730	4368	1607
731	4371	1600
732	4374	1593
733	4376	1586
734	4380	1579
735	4382	1572
736	4385	1564
737	4388	1557
738	4391	1551
739	4394	1544
740	4398	1537
741	4401	1530
742	4404	1523
743	4407	1516
744	4409	1509
745	4412	1502
746	4415	1495
747	4418	1488
748	4422	1481
749	4425	1475
750	4429	1468
751	4433	1462
752	4436	1455
753	4440	1448
754	4443	1441
755	4446	1435
756	4449	1428
757	4452	1421
758	4456	1414
759	4458	1407
760	4461	1401
761	4464	1394
762	4467	1387
763	4470	1381
764	4474	1374
765	4476	1367
766	4480	1361
767	4483	1354
768	4486	1347
769	4490	1341
770	4494	1334
771	4497	1328
772	4501	1321
773	4503	1315
774	4507	1308
775	4511	1302
776	4515	1296
777	4519	1289
778	4523	1283
779	4526	1276
780	4531	1270
781	4534	1264
782	4537	1257
783	4541	1251
784	4545	1244
785	4548	1238
786	4551	1231
787	4556	1225
788	4559	1219
789	4563	1213
790	4567	1206
791	4570	1200
792	4573	1193
793	4576	1187
794	4579	1180
795	4582	1174
796	4585	1168
797	4589	1161
798	4593	1155
799	4596	1149
800	4600	1142
801	4603	1136
802	4606	1130
803	4610	1123
804	4613	1117
805	4619	1111
806	4623	1105
807	4626	1099
808	4629	1093
809	4633	1086
810	4637	1080
811	4641	1074
812	4644	1068
813	4648	1062
814	4651	1055
815	4655	1049
816	4658	1043
817	4661	1037
818	4664	1030
819	4668	1024
820	4673	1018
821	4676	1012
822	4680	1006
823	4684	1000
824	4688	994
825	4691	988
826	4695	982
827	4700	976
828	4703	970
829	4706	964
830	4710	957
831	4713	951
832	4718	945
833	4721	939
834	4724	933
835	4727	927
836	4730	921
837	4733	915
838	4735	908
839	4738	902
840	47839	4935	940
840	4947	935
841	4953	929
842	4965	924
843	4972	919
844	4979	913
845	4985	907
846	4993	901
847	4999	896
848	5010	891
849	5017	885
850	5027	880
851	5032	874
852	5039	868
853	5044	862
854	5047	855
855	5051	849
856	5057	843
857	5061	837
858	5066	831
859	5070	825
860	5076	819
861	5080	813
862	5084	807
863	5089	801
864	5094	795
865	5098	788
866	5106	783
867	5110	777
868	5114	770
869	5119	765
870	5123	758
871	5130	753
872	5133	746
873	5137	740
874	5143	734
875	5146	728
876	5151	722
877	5157	716
878	5161	710
879	5167	704
880	5172	698
881	5178	692
882	5185	687
883	5189	681
884	5193	674
885	5196	668
886	5199	662
887	5203	656
888	5205	650
889	5210	644
890	5215	637
891	5218	631
892	5221	625
893	5225	619
894	5228	613
895	5232	607
896	5238	601
897	5244	595
898	5250	589
899	5255	583
900	5259	577
901	5264	571
902	5271	566
903	5277	560
904	5281	554
905	5285	548
906	5290	542
907	5295	536
908	5300	530
909	5305	524
910	5309	518
911	5314	512
912	5318	506
913	5322	500
914	5325	494
915	5329	488
916	5334	482
917	5338	476
918	5342	470
919	5348	465
920	5351	459
921	5356	453
922	5363	447
923	5367	441
924	5372	435
925	5375	429
926	5379	423
927	5382	417
928	5386	411
929	5391	405
930	5394	399
931	5398	393
932	5402	387
933	5406	382
934	5412	376
935	5418	370
936	5422	364
937	5426	358
938	5430	352
939	5436	346
940	5441	341
941	5445	335
942	5448	329
943	5452	323
944	5456	317
945	5461	311
946	5465	305
947	5471	300
948	5477	294
949	5482	288
950	5487	282
951	5490	276
952	5495	271
953	5499	265
954	5502	259
955	5505	253
956	5508	247
957	5513	241
958	5516	235
959	5520	230
960	5524	224
961	5529	218
962	5533	212
963	5537	206
964	5541	200
965	5545	195
966	5549	189
967	5552	183
968	5555	177
969	5558	171
970	5561	166
971	5564	160
972	5567	154
973	5570	148
974	5573	142
975	5576	137
976	5579	131
977	5582	125
978	5584	119
979	5588	114
980	5591	108
981	5593	102
982	5595	96
983	5597	91
984	5599	85
985	5601	79
986	5603	73
987	5605	68
988	5609	62
989	5612	56
990	5614	50
991	5616	45
992	5618	39
993	5620	33
994	5622	28
995	5624	22
996	5626	16
997	5629	11
998	5631	5
999	5633	0
